Awaiting,"CNIC Mismatch",Date,Death,Driver,Evening,Leave,"Left Job","Night Shift","Not Surveyd",Other,"Other Duty",Present,"Present without Uniform",Retired,Surveyed,Total,Transfer,"Valid Absent",Zone,week,year
239,0,2017-10-17,0,0,0,0,0,0,487,0,0,2,15,0,262,749,0,6,VI,42,2017
117,0,2017-10-18,0,0,0,0,0,0,720,3,0,66,6,0,202,922,1,9,VII,42,2017
0,0,2017-10-28,0,0,0,5,21,0,-1,22,0,110,36,0,216,215,14,8,GIP,43,2017
0,0,2017-10-28,0,3,0,2,16,2,0,56,20,115,137,1,356,356,3,1,GORs,43,2017
0,0,2017-10-26,0,10,1,12,9,0,848,33,41,472,102,9,738,1586,5,44,I,43,2017
0,0,2017-10-25,1,3,0,8,24,2,1,36,42,466,45,1,691,692,12,51,III,43,2017
0,0,2017-10-27,3,0,0,7,14,1,2,32,28,62,85,1,239,241,2,4,JillaniPark,43,2017
0,0,2017-10-25,0,3,0,7,15,0,0,29,40,269,13,0,394,394,5,13,PDLBC,43,2017
0,0,2017-10-27,0,0,0,11,2,0,0,24,2,125,22,1,205,205,11,7,"Project Gulshan-e-Iqbal Park",43,2017
0,0,2017-10-23,1,15,61,14,14,35,-1,92,28,465,169,16,974,973,14,50,V,43,2017
0,0,2017-10-28,1,1,0,7,15,0,6,14,2,3,151,1,241,247,16,30,VI,43,2017
0,0,2017-10-26,0,3,0,4,4,2,10,16,13,190,27,3,295,305,3,30,VII,43,2017
0,0,2017-11-03,0,0,0,11,48,20,-7,25,3,245,65,0,463,456,26,20,GIP,44,2017
0,0,2017-11-03,0,2,0,2,5,2,223,4,14,65,28,1,132,355,2,7,GORs,44,2017
0,0,2017-11-02,1,1,0,5,2,19,-1,24,19,131,292,4,525,524,9,18,II,44,2017
0,0,2017-11-04,1,3,0,8,28,24,1,26,50,448,41,3,705,706,16,57,III,44,2017
0,0,2017-10-30,4,5,3,22,11,0,15,34,18,529,145,8,850,865,20,51,IV,44,2017
0,0,2017-11-03,4,1,0,2,11,23,2,20,5,56,106,0,239,241,2,9,JillaniPark,44,2017
0,0,2017-11-02,0,3,0,7,13,7,0,17,13,293,21,0,394,394,6,14,PDLBC,44,2017
0,0,2017-11-03,0,0,0,8,2,15,5,17,2,127,13,1,200,205,11,4,"Project Gulshan-e-Iqbal Park",44,2017
0,0,2017-10-31,0,2,0,8,7,4,328,6,2,191,36,3,288,616,1,28,VII,44,2017
